yyyymmdd,data,ano,year,month,day,time,time_difference,ltm,fil,fil_norm
20151030,26.700000000000003,2.3586337760910823,2015,10,30,78829,1.0,24.34136622390892,-0.06815229548967006,-0.046861972860225365
20151031,25.6,1.3557874762808382,2015,10,31,78830,1.0,24.244212523719163,-0.6777556029562644,-0.4660292722849841
20151101,22.900000000000002,-1.2425047438330203,2015,11,1,78831,1.0,24.142504743833022,-1.19332624950454,-0.8205390869945445
20151102,22.6,-1.440796963946866,2015,11,2,78832,1.0,24.040796963946867,-1.4768006770174997,-1.0154579937347252
20151103,23.700000000000003,-0.25882352941176023,2015,11,3,78833,1.0,23.958823529411763,-1.4395356975752034,-0.9898343453643422
20151104,24.700000000000003,0.838140417457307,2015,11,4,78834,1.0,23.861859582542696,-1.0736757474026537,-0.7382666038459643
20151105,25.8,2.0525616698292204,2015,11,5,78835,1.0,23.74743833017078,-0.46200622520798007,-0.3176785613953844
20151106,25.5,1.8641366223908946,2015,11,6,78836,1.0,23.635863377609105,0.23879036397931183,0.1641938466735572
20151107,26.200000000000003,2.6740037950664153,2015,11,7,78837,1.0,23.525996204933588,0.8386571042754041,0.5766662175824454
20151108,26.5,3.0975332068311197,2015,11,8,78838,1.0,23.40246679316888,1.1681617452735091,0.8032358060728573
20151109,26.700000000000003,3.427703984819736,2015,11,9,78839,1.0,23.272296015180267,1.1307148198222943,0.7774870504134137
20151110,24.900000000000002,1.753320683111955,2015,11,10,78840,1.0,23.146679316888047,0.736663658260182,0.5065348439471926
20151111,23.8,0.7833017077798878,2015,11,11,78841,1.0,23.016698292220113,0.1075278751931023,0.07393688404494937
20151112,23.900000000000002,1.0256166982922252,2015,11,12,78842,1.0,22.874383301707777,-0.5528752837651001,-0.3801607320301714
20151113,23.3,0.5762808349146091,2015,11,13,78843,1.0,22.72371916508539,-1.0142361476914108,-0.6973955387046131
20151114,24.400000000000002,1.805882352941179,2015,11,14,78844,1.0,22.594117647058823,-1.0875942279856075,-0.7478370439118138
20151115,24.200000000000003,1.7297912713472527,2015,11,15,78845,1.0,22.47020872865275,-0.6856631698310385,-0.47146656800061043
20151116,24.8,2.479316888045542,2015,11,16,78846,1.0,22.32068311195446,0.14286533482617403,0.09823515694061899
20151117,25.5,3.336812144212523,2015,11,17,78847,1.0,22.163187855787477,1.2175232385904693,0.8371770980504722
20151118,26.1,4.080645161290324,2015,11,18,78848,1.0,22.019354838709678,2.270102363605792,1.560937523657622
20151119,25.900000000000002,4.009108159392792,2015,11,19,78849,1.0,21.89089184060721,3.017657032397768,2.0749610990744496
20151120,24.8,3.0628083491461098,2015,11,20,78850,1.0,21.73719165085389,3.2447062303254373,2.2310816416735624
20151121,24.8,3.213662239089185,2015,11,21,78851,1.0,21.586337760910816,2.8695533687060637,1.973124032273485
20151122,25.400000000000002,3.972675521821632,2015,11,22,78852,1.0,21.42732447817837,1.9738213442546004,1.357212718967222
20151123,25.400000000000002,4.151612903225807,2015,11,23,78853,1.0,21.248387096774195,0.7845073111986242,0.5394324587586431
20151124,24.5,3.409867172675522,2015,11,24,78854,1.0,21.090132827324478,-0.3885558799440403,-0.2671736141797086
20151125,22.6,1.6455407969639495,2015,11,25,78855,1.0,20.954459203036052,-1.2422283690325986,-0.8541645104915231
20151126,18.2,-2.637571157495259,2015,11,26,78856,1.0,20.83757115749526,-1.570604332834741,-1.0799580130152755
20151127,18.400000000000002,-2.3102466793168865,2015,11,27,78857,1.0,20.71024667931689,-1.3286221913806686,-0.9135694788653328
20151128,20.8,0.20512333965844576,2015,11,28,78858,1.0,20.594876660341555,-0.647009675245059,-0.4448881673579558
20151129,22.1,1.6206831119544596,2015,11,29,78859,1.0,20.479316888045542,0.20784742518541777,0.1429172756122807
20151130,22.400000000000002,2.0647058823529427,2015,11,30,78860,1.0,20.33529411764706,0.9175139318483865,0.6308886980875765
20151201,22.900000000000002,2.757874762808349,2015,12,1,78861,1.0,20.142125237191653,1.213167945812136,0.8341823696923126
20151202,23.3,3.3776091081593904,2015,12,2,78862,1.0,19.92239089184061,0.9629468422903769,0.6621286702821494
20151203,20.8,1.0861480075901326,2015,12,3,78863,1.0,19.713851992409868,0.21631402802213007,0.1487389681833322
20151204,19.5,-0.01973434535104346,2015,12,4,78864,1.0,19.519734345351043,-0.8098834790882536,-0.5568812810234864
20151205,18.400000000000002,-0.9696394686907013,2015,12,5,78865,1.0,19.369639468690703,-1.8006660995005093,-1.2381500179683713
