yyyymmdd,data,ano,year,month,day,time,time_difference,ltm
20150909,28.200000000000003,-0.35711574952561875,2015,9,9,78778,1.0,28.55711574952562
20150910,28.1,-0.4229601518026591,2015,9,10,78779,1.0,28.52296015180266
20150911,28.1,-0.3922201138519945,2015,9,11,78780,1.0,28.492220113851996
20150912,27.900000000000002,-0.5825426944971497,2015,9,12,78781,1.0,28.482542694497152
20150913,28.0,-0.46755218216318895,2015,9,13,78782,1.0,28.46755218216319
20150914,28.0,-0.4318785578747679,2015,9,14,78783,1.0,28.431878557874768
20150915,28.6,0.2104364326375716,2015,9,15,78784,1.0,28.38956356736243
20150916,28.1,-0.25370018975332087,2015,9,16,78785,1.0,28.353700189753322
20150917,28.200000000000003,-0.12409867172675604,2015,9,17,78786,1.0,28.32409867172676
20150918,28.5,0.21195445920303868,2015,9,18,78787,1.0,28.28804554079696
20150919,28.3,0.04971537001897275,2015,9,19,78788,1.0,28.250284629981028
20150920,28.700000000000003,0.48311195445920774,2015,9,20,78789,1.0,28.216888045540795
20150921,27.400000000000002,-0.7715370018975349,2015,9,21,78790,1.0,28.171537001897537
20150922,28.1,-0.011954459203035839,2015,9,22,78791,1.0,28.111954459203037
20150923,28.900000000000002,0.8459203036053147,2015,9,23,78792,1.0,28.054079696394687
20150924,29.3,1.3083491461100536,2015,9,24,78793,1.0,27.991650853889947
20150925,29.700000000000003,1.7795066413662255,2015,9,25,78794,1.0,27.920493358633777
20150926,28.700000000000003,0.8508538899430782,2015,9,26,78795,1.0,27.849146110056925
20150927,27.8,0.025237191650852253,2015,9,27,78796,1.0,27.77476280834915
20150928,29.0,1.302087286527513,2015,9,28,78797,1.0,27.697912713472487
20150929,29.700000000000003,2.091461100569262,2015,9,29,78798,1.0,27.60853889943074
20150930,29.8,2.278368121442128,2015,9,30,78799,1.0,27.521631878557873
20151001,28.8,1.3662239089184034,2015,10,1,78800,1.0,27.433776091081597
20151002,27.900000000000002,0.5593927893738133,2015,10,2,78801,1.0,27.34060721062619
20151003,26.8,-0.41992409867172853,2015,10,3,78802,1.0,27.21992409867173
20151004,26.700000000000003,-0.40645161290322207,2015,10,4,78803,1.0,27.106451612903225
20151005,26.700000000000003,-0.3051233396584436,2015,10,5,78804,1.0,27.005123339658446
20151006,26.0,-0.9049335863377621,2015,10,6,78805,1.0,26.904933586337762
20151007,26.400000000000002,-0.41347248576849793,2015,10,7,78806,1.0,26.8134724857685
20151008,27.8,1.078178368121442,2015,10,8,78807,1.0,26.72182163187856
20151009,26.8,0.1611005692599612,2015,10,9,78808,1.0,26.63889943074004
20151010,24.3,-2.256925996204938,2015,10,10,78809,1.0,26.55692599620494
20151011,20.5,-5.962049335863377,2015,10,11,78810,1.0,26.462049335863377
20151012,23.1,-3.2609108159392797,2015,10,12,78811,1.0,26.36091081593928
20151013,25.1,-1.1514231499051206,2015,10,13,78812,1.0,26.251423149905122
20151014,25.0,-1.1392789373814054,2015,10,14,78813,1.0,26.139278937381405
20151015,25.200000000000003,-0.8277039848197347,2015,10,15,78814,1.0,26.027703984819738
20151016,25.8,-0.11574952561670315,2015,10,16,78815,1.0,25.915749525616704
20151017,26.200000000000003,0.4041745730550268,2015,10,17,78816,1.0,25.795825426944976
20151018,25.5,-0.1580645161290306,2015,10,18,78817,1.0,25.65806451612903
20151019,25.3,-0.22258064516129394,2015,10,19,78818,1.0,25.522580645161295
20151020,26.200000000000003,0.8018975332068337,2015,10,20,78819,1.0,25.39810246679317
20151021,26.400000000000002,1.1233396584440278,2015,10,21,78820,1.0,25.276660341555974
20151022,27.0,1.8187855787476295,2015,10,22,78821,1.0,25.18121442125237
20151023,27.0,1.9009487666034133,2015,10,23,78822,1.0,25.099051233396587
20151024,26.8,1.80683111954459,2015,10,24,78823,1.0,24.99316888045541
20151025,25.900000000000002,1.0206831119544617,2015,10,25,78824,1.0,24.87931688804554
20151026,25.400000000000002,0.6280834914611013,2015,10,26,78825,1.0,24.7719165085389
20151027,26.5,1.8330170777988606,2015,10,27,78826,1.0,24.66698292220114
20151028,26.700000000000003,2.141745730550287,2015,10,28,78827,1.0,24.558254269449716
20151029,26.400000000000002,1.9548387096774213,2015,10,29,78828,1.0,24.44516129032258
20151030,26.700000000000003,2.3586337760910823,2015,10,30,78829,1.0,24.34136622390892
20151031,25.6,1.3557874762808382,2015,10,31,78830,1.0,24.244212523719163
20151101,22.900000000000002,-1.2425047438330203,2015,11,1,78831,1.0,24.142504743833022
20151102,22.6,-1.440796963946866,2015,11,2,78832,1.0,24.040796963946867
20151103,23.700000000000003,-0.25882352941176023,2015,11,3,78833,1.0,23.958823529411763
20151104,24.700000000000003,0.838140417457307,2015,11,4,78834,1.0,23.861859582542696
20151105,25.8,2.0525616698292204,2015,11,5,78835,1.0,23.74743833017078
20151106,25.5,1.8641366223908946,2015,11,6,78836,1.0,23.635863377609105
20151107,26.200000000000003,2.6740037950664153,2015,11,7,78837,1.0,23.525996204933588
20151108,26.5,3.0975332068311197,2015,11,8,78838,1.0,23.40246679316888
20151109,26.700000000000003,3.427703984819736,2015,11,9,78839,1.0,23.272296015180267
20151110,24.900000000000002,1.753320683111955,2015,11,10,78840,1.0,23.146679316888047
20151111,23.8,0.7833017077798878,2015,11,11,78841,1.0,23.016698292220113
20151112,23.900000000000002,1.0256166982922252,2015,11,12,78842,1.0,22.874383301707777
20151113,23.3,0.5762808349146091,2015,11,13,78843,1.0,22.72371916508539
20151114,24.400000000000002,1.805882352941179,2015,11,14,78844,1.0,22.594117647058823
20151115,24.200000000000003,1.7297912713472527,2015,11,15,78845,1.0,22.47020872865275
20151116,24.8,2.479316888045542,2015,11,16,78846,1.0,22.32068311195446
20151117,25.5,3.336812144212523,2015,11,17,78847,1.0,22.163187855787477
20151118,26.1,4.080645161290324,2015,11,18,78848,1.0,22.019354838709678
20151119,25.900000000000002,4.009108159392792,2015,11,19,78849,1.0,21.89089184060721
20151120,24.8,3.0628083491461098,2015,11,20,78850,1.0,21.73719165085389
20151121,24.8,3.213662239089185,2015,11,21,78851,1.0,21.586337760910816
20151122,25.400000000000002,3.972675521821632,2015,11,22,78852,1.0,21.42732447817837
20151123,25.400000000000002,4.151612903225807,2015,11,23,78853,1.0,21.248387096774195
20151124,24.5,3.409867172675522,2015,11,24,78854,1.0,21.090132827324478
20151125,22.6,1.6455407969639495,2015,11,25,78855,1.0,20.954459203036052
20151126,18.2,-2.637571157495259,2015,11,26,78856,1.0,20.83757115749526
20151127,18.400000000000002,-2.3102466793168865,2015,11,27,78857,1.0,20.71024667931689
20151128,20.8,0.20512333965844576,2015,11,28,78858,1.0,20.594876660341555
20151129,22.1,1.6206831119544596,2015,11,29,78859,1.0,20.479316888045542
20151130,22.400000000000002,2.0647058823529427,2015,11,30,78860,1.0,20.33529411764706
20151201,22.900000000000002,2.757874762808349,2015,12,1,78861,1.0,20.142125237191653
20151202,23.3,3.3776091081593904,2015,12,2,78862,1.0,19.92239089184061
20151203,20.8,1.0861480075901326,2015,12,3,78863,1.0,19.713851992409868
20151204,19.5,-0.01973434535104346,2015,12,4,78864,1.0,19.519734345351043
20151205,18.400000000000002,-0.9696394686907013,2015,12,5,78865,1.0,19.369639468690703
20151206,16.6,-2.661290322580644,2015,12,6,78866,1.0,19.261290322580646
20151207,17.3,-1.8462998102466806,2015,12,7,78867,1.0,19.14629981024668
20151208,18.0,-1.0159392789373811,2015,12,8,78868,1.0,19.01593927893738
20151209,17.7,-1.2085388994307422,2015,12,9,78869,1.0,18.90853889943074
20151210,19.3,0.504743833017077,2015,12,10,78870,1.0,18.795256166982924
20151211,19.900000000000002,1.2248576850094892,2015,12,11,78871,1.0,18.675142314990513
20151212,20.0,1.4542694497153654,2015,12,12,78872,1.0,18.545730550284635
20151213,20.400000000000002,1.972296015180266,2015,12,13,78873,1.0,18.427703984819736
20151214,20.400000000000002,2.0743833017077797,2015,12,14,78874,1.0,18.325616698292222
20151215,18.400000000000002,0.22106261859582688,2015,12,15,78875,1.0,18.178937381404175
20151216,15.200000000000001,-2.822201138519924,2015,12,16,78876,1.0,18.022201138519925
20151217,13.200000000000001,-4.70893536121673,2015,12,17,78877,1.0,17.90893536121673
20151218,13.9,-3.9321904761904793,2015,12,18,78878,1.0,17.83219047619048
20151219,16.2,-1.5765267175572504,2015,12,19,78879,1.0,17.77652671755725
20151220,17.6,-0.12007648183556796,2015,12,20,78880,1.0,17.72007648183557
20151221,19.400000000000002,1.7097701149425326,2015,12,21,78881,1.0,17.69022988505747
20151222,19.900000000000002,2.2539347408829187,2015,12,22,78882,1.0,17.646065259117083
20151223,21.1,3.5223076923076917,2015,12,23,78883,1.0,17.57769230769231
20151224,22.3,4.789980732177263,2015,12,24,78884,1.0,17.510019267822738
20151225,18.2,0.7774131274131229,2015,12,25,78885,1.0,17.422586872586876
20151226,17.900000000000002,0.5593810444874272,2015,12,26,78886,1.0,17.340618955512575
20151227,17.7,0.4556201550387584,2015,12,27,78887,1.0,17.24437984496124
20151228,17.3,0.15514563106795976,2015,12,28,78888,1.0,17.14485436893204
20151229,17.7,0.6791828793774286,2015,12,29,78889,1.0,17.02081712062257
20151230,17.3,0.383430799220271,2015,12,30,78890,1.0,16.91656920077973
20151231,17.8,0.9576171874999986,2015,12,31,78891,1.0,16.842382812500002
